ふりがな,名前,タイプ,誕生日,出身地,年齢,身長,体重,バスト,ウエスト,ヒップ,星座,血液型,利き手,趣味,CV
あいはら　ゆきの,相原　雪乃,キュート,2月14日,秋田,22歳,160cm,51kg,92,58,90,水瓶座,A型,左,紅茶,
あかにし　えりか,赤西　瑛梨華,キュート,7月7日,岡山,16歳,154cm,55kg,92,59,88,蟹座,O型,両,漫才鑑賞,
あさの　ふうか,浅野　風香,キュート,2月11日,滋賀,16歳,160cm,48kg,88,59,84,水瓶座,A型,右,小説を書くこと,
あべ　なな,安部　菜々,キュート,5月15日,ウサミン星,永遠の17歳,146cm,40kg,84,57,84,牡牛座,O型,右,ウサミン星との交信,三宅麻理恵
ありうら　かんな,有浦　柑奈,キュート,3月6日,長崎,19歳,155cm,44kg,78,57,80,魚座,O型,右,ラブ＆ピース,
あんざい　みやこ,安斎　都,キュート,1月6日,福井,16歳,156cm,41kg,78,55,77,山羊座,B型,右,探偵ドラマ・推理小説を見ること,
いがらし　きょうこ,五十嵐　響子,キュート,8月10日,鳥取,15歳,154cm,43kg,81,58,80,獅子座,AB型,右,家事全般,種﨑敦美
いけぶくろ　あきは,池袋　晶葉,キュート,6月10日,東京,14歳,148cm,39kg,75,53,74,双子座,B型,右,ロボット制作,
いちのせ　しき,一ノ瀬　志希,キュート,5月30日,岩手,18歳,161cm,43kg,83,57,82,双子座,O型,右,観察・アヤしい科学実験・失踪,藍原ことみ
いまい　かな,今井　加奈,キュート,3月3日,高知,16歳,153cm,41kg,81,56,79,魚座,O型,右,友達とおしゃべり,
いむら　せつな,井村　雪菜,キュート,8月27日,秋田,17歳,163cm,48kg,85,60,88,乙女座,AB型,右,メイク小物集め,
えがみ　つばき,江上　椿,キュート,2月6日,新潟,19歳,161cm,46kg,80,57,80,水瓶座,A型,左,写真を撮ること,
おおた　ゆう,太田　優,キュート,1月28日,千葉,21歳,159cm,45kg,89,57,87,水瓶座,AB型,両,犬のトリミング、美容,
おおにし　ゆりこ,大西　由里子,キュート,3月20日,香川,20歳,156cm,44kg,81,58,83,魚座,O型,右,ネットサーフィン・読書,
おおぬま　くるみ,大沼　くるみ,キュート,3月30日,石川,13歳,145cm,40kg,おっきい,ふつう,まぁまぁ,牡羊座,A型,右,ポケットティッシュ収集、お風呂に入ること,
おおはら　みちる,大原　みちる,キュート,4月12日,福井,15歳,153cm,40kg,78,55,80,牡羊座,O型,右,食べること,
おがた　ちえり,緒方　智絵里,キュート,6月11日,三重,16歳,153cm,42kg,79,57,80,双子座,A型,右,四葉のクローバー集め,大空直美
おくやま　さおり,奥山　沙織,キュート,6月12日,秋田,19歳,156cm,47kg,83,57,81,双子座,B型,右,読書,
おとくら　ゆうき,乙倉　悠貴,キュート,10月6日,岡山,13歳,164cm,40kg,70,53,74,天秤座,A型,右,ミックスジュース作り・ スクラップブック作り,中島由貴
くさかべ　わかば,日下部　若葉,キュート,5月4日,群馬,20歳,148cm,40kg,77,54,78,牡牛座,O型,右,ジグソーパズル,
くどう　しのぶ,工藤　忍,キュート,3月9日,青森,16歳,154cm,41kg,78,54,81,魚座,A型,左,おまけ集め,
くらりす,クラリス,キュート,8月26日,兵庫,20歳,166cm,45kg,80,55,82,乙女座,AB型,右,ボランティア,
くりはら　ねね,栗原　ネネ,キュート,9月9日,群馬,15歳,161cm,44kg,77,54,78,乙女座,A型,右,テレビ鑑賞・健康作り,
くろさき　ちとせ,黒埼　ちとせ,キュート,11月10日,東京,19歳,164cm,44kg,86,58,84,蠍座,O型,右,美味しいものを食べること・月光浴,佐倉薫
こが　こはる,古賀　小春,キュート,4月1日,佐賀,12歳,140cm,35kg,72,54,77,牡羊座,O型,左,イグアナのヒョウくんと遊ぶこと、家のお手伝い,
こしみず　さちこ,輿水　幸子,キュート,11月25日,山梨,14歳,142cm,37kg,74,52,75,射手座,B型,左,勉強ノートの清書,竹達彩奈
こばやかわ　さえ,小早川　紗枝,キュート,10月18日,京都,15歳,148cm,42kg,78,56,80,天秤座,AB型,右,日本舞踊,立花理香
こひなた　みほ,小日向　美穂,キュート,12月16日,熊本,17歳,155cm,42kg,82,59,86,射手座,O型,左,ひなたぼっこ,津田美波
さいおんじ　ことか,西園寺　琴歌,キュート,1月23日,東京,17歳,156cm,46kg,87,57,85,水瓶座,O型,右,押し花作り,
さかきばら　さとみ,榊原　里美,キュート,8月27日,山形,17歳,162cm,46kg,91,56,86,乙女座,O型,右,甘いお菓子を食べること,
さくま　まゆ,佐久間　まゆ,キュート,9月7日,仙台,16歳,153cm,40kg,78,54,80,乙女座,B型,両,お料理、編み物,牧野由依
さくらい　ももか,櫻井　桃華,キュート,4月8日,神戸,12歳,145cm,39kg,72,53,75,牡羊座,A型,右,ティータイム,照井春佳
しいな　のりこ,椎名　法子,キュート,10月10日,大阪,13歳,147cm,38kg,76,55,79,天秤座,O型,右,新作ドーナツの試食,都丸ちよ
しまむら　うづき,島村　卯月,キュート,4月24日,東京,17歳,159cm,45kg,83,59,87,牡牛座,O型,右,友達と長電話,大橋彩香
